timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-65.863887,455,,,
910,-24.917415,455,,,
1365,-31.252282,455,,,
1820,-19.354768,455,,,
2275,-21.653557,455,,,
2730,-20.712872,455,,,
3185,-19.740955,455,,,
3640,-31.244688,455,,,
4095,-31.740284,455,-0.026108622550964355,6.392194420099258,8.81009401679039
4550,-65.203673,455,,,
5005,-25.712959,455,,,
5460,-68.648611,455,,,
5915,-18.922685,455,0.29102957248687744,6.40001990199089,4.955617800354958
6370,-23.11137,455,,,
6825,-82.190821,455,,,
7280,-69.755483,455,,,
7735,-19.900513,455,,,
8190,-16.474744,455,0.3500823974609375,6.42167791724205,7.773067221045494
8645,-20.302398,455,,,
9100,-69.960865,455,,,
9555,-12.37671,455,,,
10010,-70.308815,455,0.6807206869125366,6.436973434686661,8.559693950414658
10465,-69.749195,455,,,
10920,-19.221648,455,,,
11375,-12.607446,455,,,
11830,-73.444385,455,,,
12285,-25.073764,455,0.7247791290283203,6.435759878158569,9.897582840919494
12740,-20.566825,455,,,
13195,-70.946675,455,,,
13650,-70.008446,455,,,
14105,-77.576115,455,0.8683739900588989,6.440035575628281,4.965788489580154
14560,-3.914349,455,,,
15015,-18.640349,455,,,
15470,-81.437899,455,,,
15925,-15.039351,455,,,
16380,-23.963969,455,0.8301317691802979,6.442255359888077,8.074568331241608
16835,-20.599519,455,,,
17290,-23.973726,455,,,
17745,-16.985644,455,,,
18200,-17.063602,455,0.882808268070221,6.456075692176819,4.62051143348217
18655,-14.871784,455,,,
19110,-17.106049,455,,,
19565,-18.32291,455,,,
20020,-20.818601,455,,,
20475,-18.475801,455,0.9656376838684082,6.485053271055222,1.188539270311594
20930,-67.785721,455,,,
21385,-11.489138,455,,,
21840,-18.369583,455,,,
22295,-2.720766,455,0.964601457118988,6.508541995286942,1.1343249730765819
22750,-13.433376,455,,,
23205,-68.266058,455,,,
23660,-8.138227,455,,,
24115,-12.925032,455,,,
24570,-64.524573,455,0.9515568017959595,6.521771365404129,2.373673713207245
25025,-73.001439,455,,,
25480,-74.510671,455,,,
25935,-6.133053,455,,,
26390,-67.954222,455,0.940730631351471,6.535557591915131,3.878033164143562
26845,-63.548655,455,,,
27300,-14.168306,455,,,
27755,-75.015582,455,,,
28210,-66.783038,455,,,
28665,-74.520323,455,0.9226637482643127,6.527129888534546,5.918929171562195
29120,-2.700684,455,,,
29575,-70.605653,455,,,
30030,-18.77006,455,,,
30485,-1.878318,455,0.9223188757896423,6.519864559173584,6.242807519435883
30940,-78.967296,455,,,
31395,-64.371152,455,,,
31850,-3.139757,455,,,
32305,-11.013995,455,,,
32760,-11.575624,455,0.943857729434967,6.522393524646759,4.073692771792412
33215,0.315079,455,,,
33670,6.533574,455,,,
34125,-62.238901,455,,,
34580,-72.509554,455,0.975806474685669,6.52735013961792,1.23336773365736
35035,-9.538033,455,,,
35490,-66.042048,455,,,
35945,2.756404,455,,,
36400,9.265431,455,,,
36855,-63.64206,455,0.9630488157272339,6.5352649807929994,2.805453063547611
37310,1.554783,455,,,
37765,-17.255553,455,,,
38220,-11.582485,455,,,
38675,-61.262511,455,0.96402907371521,6.54062442779541,2.6305139154195785
39130,3.316585,455,,,
39585,11.353596,455,,,
40040,9.951396,455,,,
40495,-56.253834,455,,,
40950,19.606691,455,0.971942126750946,6.552246022224426,1.594176645576954
41405,-6.919837,455,,,
41860,-76.513203,455,,,
42315,-12.166158,455,,,
42770,-9.792038,455,0.9812988042831421,6.566216242313385,1.3665558949112893
43225,-54.525243,455,,,
43680,13.808201,455,,,
44135,-3.561046,455,,,
44590,-7.379357,455,,,
45045,32.435085,455,0.9584218263626099,6.58512858748436,3.174857123196125
45500,-57.18512,455,,,
45955,29.583959,455,,,
46410,-68.218826,455,,,
46865,-2.244419,455,0.9761678576469421,6.601285362243653,0.8739381238818169
47320,-5.110391,455,,,
47775,-51.080824,455,,,
48230,-55.299408,455,,,
48685,-4.274518,455,,,
49140,-3.616483,455,0.9628461003303528,6.6209112226963045,2.8281628027558328
49595,-53.255415,455,,,
50050,23.541174,455,,,
50505,32.16552,455,,,
50960,-14.027755,455,0.9711169004440308,6.638107538223267,1.7987342700362206
51415,-45.620887,455,,,
51870,38.23374,455,,,
52325,-36.972699,455,,,
52780,-49.412838,455,,,
53235,-40.634724,455,0.9820675849914551,6.6609069287776945,1.3983546614646911
53690,-3.030489,455,,,
54145,-36.133828,455,,,
54600,-0.276142,455,,,
55055,34.545249,455,0.9793120622634888,6.699056774377823,1.7023606240749358
55510,32.462605,455,,,
55965,-37.387602,455,,,
56420,-3.644528,455,,,
56875,-34.908415,455,,,
57330,-0.948155,455,0.9826197624206543,6.703546178340912,1.0872124210000038
57785,25.912776,455,,,
58240,26.609773,455,,,
58695,-37.517328,455,,,
59150,8.831248,455,0.9895323514938354,6.720967543125153,0.5659115437418223
59605,-32.414033,455,,,
60060,-22.437471,455,,,
60515,-20.817377,455,,,
60970,-12.334343,455,,,
61425,-30.450651,455,0.9851198196411133,6.7518280982971195,1.0591611042618752
61880,-15.406123,455,,,
62335,3.228586,455,,,
62790,29.355888,455,,,
63245,41.681554,455,0.9861024022102356,6.77898142337799,0.7982915431261063
63700,12.233396,455,,,
64155,46.838415,455,,,
64610,44.21108,455,,,
65065,-23.605973,455,,,
65520,-31.035782,455,0.9747171998023987,6.797429925203323,1.22355300411582
65975,41.197922,455,,,
66430,55.926949,455,,,
66885,41.050597,455,,,
67340,-20.038055,455,0.9849305152893066,6.8063588500022885,1.3067295894026756
67795,6.670379,455,,,
68250,46.431513,455,,,
68705,4.674282,455,,,
69160,47.328225,455,,,
69615,-10.323453,455,0.9810044765472412,6.818865019083023,1.9229714393615722
70070,58.631052,455,,,
70525,56.011997,455,,,
70980,-14.217133,455,,,
71435,56.175642,455,0.986224889755249,6.82969177365303,1.0513375855982303
71890,-21.580873,455,,,
72345,1.483001,455,,,
72800,52.403664,455,,,
73255,-9.216979,455,,,
73710,-9.988279,455,0.9823073744773865,6.857806658744812,1.5594265177845954
74165,67.7881,455,,,
74620,68.391835,455,,,
75075,78.717329,455,,,
75530,74.484112,455,0.984075129032135,6.891271620988846,1.3915654510259627
75985,17.177008,455,,,
76440,-20.453855,455,,,
76895,3.274264,455,,,
77350,73.878807,455,,,
77805,24.533976,455,0.9681522250175476,6.91987224817276,3.858393746614456
78260,-17.934108,455,,,
78715,5.525793,455,,,
79170,-10.627746,455,,,
79625,-5.258355,455,0.9770099520683289,6.937875801324845,1.9271097369492054
80080,-1.614515,455,,,
80535,-0.71622,455,,,
80990,11.484922,455,,,
81445,2.214393,455,,,
81900,-0.950701,455,0.9886932373046875,6.947702783346176,1.082480574399233
82355,16.274596,455,,,
82810,0.580655,455,,,
83265,4.803681,455,,,
83720,-6.278161,455,0.9679065942764282,6.949171257019043,1.122270107269287
84175,-2.714242,455,,,
84630,5.476261,455,,,
85085,8.093328,455,,,
85540,-1.92397,455,,,
85995,5.939372,455,0.9825196266174316,6.942717170715332,1.9504154197871686
86450,-0.302651,455,,,
86905,15.384106,455,,,
87360,-0.240274,455,,,
87815,57.885767,455,0.9860185384750366,6.9531274497509,0.8500365585088729
88270,7.059526,455,,,
88725,84.625253,455,,,
89180,0.96284,455,,,
89635,73.326725,455,,,
90090,7.619257,455,0.9861937761306763,6.982551580667495,1.9138258963823318
90545,72.460275,455,,,
91000,16.867793,455,,,
91455,0.740744,455,,,
91910,70.202912,455,0.9819039702415466,7.004997879266739,2.7743382290005685
92365,4.869986,455,,,
92820,-0.204716,455,,,
93275,25.768639,455,,,
93730,10.445183,455,,,
94185,7.552084,455,0.9810695648193359,7.021144670248032,2.0530444219708444
94640,18.834744,455,,,
95095,18.901714,455,,,
95550,22.731101,455,,,
96005,87.642215,455,0.9818056225776672,7.033082628250122,1.6015318848192692
96460,100.929199,455,,,
96915,93.208596,455,,,
97370,79.398985,455,,,
97825,18.074522,455,,,
98280,23.044666,455,0.980689525604248,7.0524999618530275,2.768793575465679
98735,11.41223,455,,,
99190,22.171105,455,,,
99645,18.95977,455,,,
100100,32.597137,455,0.9837960004806519,7.079191583395004,2.4199585571885107
100555,9.426273,455,,,
101010,87.288683,455,,,
101465,81.632574,455,,,
101920,24.987208,455,,,
102375,22.07449,455,0.989802896976471,7.111711829900742,1.4325250908732414
102830,18.34597,455,,,
103285,25.01447,455,,,
103740,31.325054,455,,,
104195,19.669251,455,0.9831298589706421,7.134548288583756,2.0584197506308555
104650,30.531476,455,,,
105105,11.966709,455,,,
105560,96.76868,455,,,
106015,36.018801,455,,,
106470,31.936373,455,0.987219512462616,7.149752950668335,0.9446010813117027
106925,25.243846,455,,,
107380,21.719632,455,,,
107835,90.75248,455,,,
108290,36.798129,455,0.9831972718238831,7.168191409111023,2.532776254415512
108745,89.312636,455,,,
109200,26.536547,455,,,
109655,117.256153,455,,,
110110,93.329445,455,,,
110565,29.372745,455,0.9846140146255493,7.178774166107178,2.482838509976864
111020,108.694691,455,,,
111475,45.356897,455,,,
111930,39.640746,455,,,
112385,33.233277,455,0.9832412600517273,7.190638172626495,2.820484520494938
112840,105.653978,455,,,
113295,39.222294,455,,,
113750,25.258929,455,,,
114205,44.737366,455,,,
114660,36.42833,455,0.9811099767684937,7.200034022331238,3.430689464509487
115115,27.878958,455,,,
115570,43.268788,455,,,
116025,27.855831,455,,,
116480,32.117949,455,0.9860499501228333,7.208674931526184,1.6327756457030773
116935,42.425289,455,,,
117390,43.273446,455,,,
117845,46.828287,455,,,
118300,46.346558,455,,,
118755,41.038133,455,0.9843234419822693,7.216517817974091,1.8830404601991177
119210,105.921417,455,,,
119665,48.056512,455,,,
120120,95.255444,455,,,
120575,44.121064,455,0.9851767420768738,7.233528059720993,2.13400317132473
121030,43.31331,455,,,
121485,36.262825,455,,,
121940,115.846604,455,,,
122395,114.569819,455,,,
122850,47.783183,455,0.9824845194816589,7.260493147373199,3.41155024766922
123305,105.987126,455,,,
123760,97.653669,455,,,
124215,105.272433,455,,,
124670,52.828665,455,0.9828746914863586,7.273702198266983,3.385184960067272
125125,62.160388,455,,,
125580,118.303778,455,,,
126035,53.645948,455,,,
126490,62.992597,455,,,
126945,112.383765,455,0.9899248480796814,7.274113720655441,2.2460428819060327
127400,111.073825,455,,,
127855,33.587004,455,,,
128310,119.950688,455,,,
128765,33.4225,455,0.9808332324028015,7.274466019868851,6.20502422451973
129220,145.644842,455,,,
129675,26.458455,455,,,
130130,59.984285,455,,,
130585,52.697766,455,,,
131040,42.10326,455,0.9829676747322083,7.290577208995819,2.6059141159057617
131495,57.550189,455,,,
131950,111.35233,455,,,
132405,35.667295,455,,,
132860,49.272481,455,0.9819663763046265,7.318794566392898,3.5988785669207575
133315,52.23754,455,,,
133770,61.247415,455,,,
134225,134.904576,455,,,
134680,57.711382,455,,,
135135,50.561236,455,0.9883614182472229,7.3313289940357205,2.327667573094368
135590,136.769074,455,,,
